OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_AIANNH_20|GEOID_AIANNH_20|NAMELSAD_AIANNH_20|AREALAND_AIANNH_20|AREAWATER_AIANNH_20|MTFCC_AIANNH_20|CLASSFP_AIANNH_20|FUNCSTAT_AIANNH_20|AREALAND_PART|AREAWATER_PART
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529109|6460|Ekwok ANVSA|43368283|3268374|G2130|E1|S|43368283|3268374
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903708046594|6470|Elim ANVSA|795682735|22721141|G2130|E1|S|795682735|22721141
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048021|6480|Emmonak ANVSA|12861562|2443486|G2130|E1|S|12861562|2443486
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886983|6490|Evansville ANVSA|15748973|68655|G2130|E1|S|15748973|68655
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048650|6495|Eyak ANVSA|35611640|1798509|G2130|E1|S|35611640|1798509
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045279848|6500|False Pass ANVSA|31840701|0|G2130|E1|S|31840701|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886984|6515|Fort Yukon ANVSA|17466360|508298|G2130|E1|S|17466360|508298
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048651|6520|Gakona ANVSA|94789641|29592|G2130|E1|S|94789641|29592
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886985|6525|Galena ANVSA|44468966|17753689|G2130|E1|S|44468966|17753689
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328855|6530|Gambell ANVSA|27208077|4353093|G2130|E1|S|27208077|4353093
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104047|6535|Georgetown ANVSA|113498552|2852632|G2130|E1|S|113498552|2852632
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328856|6540|Golovin ANVSA|10709113|0|G2130|E1|S|10709113|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104048|6545|Goodnews Bay ANVSA|8633995|0|G2130|E1|S|8633995|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886986|6550|Grayling ANVSA|29082578|16515|G2130|E1|S|29082578|16515
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190510048652|6560|Gulkana ANVSA|11235573|0|G2130|E1|S|11235573|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048022|6570|Hamilton ANVSA|14400066|0|G2130|E1|S|14400066|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519063849587|6575|Healy Lake ANVSA|122684047|21452186|G2130|E1|S|122684047|21452186
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886987|6585|Holy Cross ANVSA|74677223|18724234|G2130|E1|S|74677223|18724234
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053176454|6590|Hoonah ANVSA|15197401|3276590|G2130|E1|S|15197401|3276590
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048023|6595|Hooper Bay ANVSA|19418102|78618|G2130|E1|S|19418102|78618
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886988|6605|Hughes ANVSA|10223696|2374667|G2130|E1|S|10223696|2374667
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886989|6610|Huslia ANVSA|81483555|1449800|G2130|E1|S|81483555|1449800
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051388000|6615|Hydaburg ANVSA|755589|7081|G2130|E1|S|755589|7081
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769574|6620|Igiugig ANVSA|54582330|2714517|G2130|E1|S|54582330|2714517
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769575|6625|Iliamna ANVSA|96392427|1213528|G2130|E1|S|96392427|1213528
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328857|6630|Inalik ANVSA|6297821|0|G2130|E1|S|6297821|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769576|6650|Ivanof Bay ANVSA|10860667|0|G2130|E1|S|10860667|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053241100|6670|Kake ANVSA|19872185|15107530|G2130|E1|S|19872185|15107530
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519053121091|6680|Kaktovik ANVSA|2005413|704200|G2130|E1|S|2005413|704200
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104049|6685|Kalskag ANVSA|9207917|1151750|G2130|E1|S|9207917|1151750
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886990|6690|Kaltag ANVSA|56045675|15321784|G2130|E1|S|56045675|15321784
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045754881|6700|Karluk ANVSA|63843525|2133122|G2130|E1|S|63843525|2133122
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051388001|6705|Kasaan ANVSA|15703414|1904849|G2130|E1|S|15703414|1904849
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104050|6710|Kasigluk ANVSA|30582379|2752177|G2130|E1|S|30582379|2752177
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045664409|6720|Kenaitze ANVSA|5073987318|251913695|G2130|E1|S|5073987318|251913695
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903716904773|6725|Ketchikan ANVSA|55874219|234220|G2130|E1|S|55874219|234220
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352988|6730|Kiana ANVSA|2805016|0|G2130|E1|S|2805016|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045279849|6735|King Cove ANVSA|31254776|6899987|G2130|E1|S|31254776|6899987
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903716903529|6740|King Salmon ANVSA|26032495|302763|G2130|E1|S|26032495|302763
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104051|6750|Kipnuk ANVSA|52483707|798572|G2130|E1|S|52483707|798572
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352989|6755|Kivalina ANVSA|4225377|6551940|G2130|E1|S|4225377|6551940
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051388002|6765|Klawock ANVSA|1609236|886869|G2130|E1|S|1609236|886869
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045842528|6785|Knik ANVSA|18093901349|978064236|G2130|E1|S|18093901349|978064236
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352990|6790|Kobuk ANVSA|40163363|1327064|G2130|E1|S|40163363|1327064
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903692119835|6795|Kodiak ANVSA|126122332|972778|G2130|E1|S|126122332|972778
